alpha_gate,gate,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,RHOTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,"GT_IDs
"
0.9,0.3,57.115,56.79,57.667,60.621,77.036,62.736,77.136,81.088,59.093,76.06,76.493,58.181,70.188,78.419,70.309,74.5,94.673,45.729,42.05,12.221,220577,75498,12411,357,348,320,93,1006,54.11,75.879,67.795,86.152,200724,95351,32264,232988,296075,928,"761
"
0.6,0.8,46.989,55.591,40.01,60.212,75.459,59.679,49.094,80.983,49.029,62.197,75.882,47.196,67.472,78.371,68.055,73.925,92.645,44.021,44.415,11.564,218872,77203,17377,1728,335,338,88,2539,51.483,56.723,50.992,63.905,150976,145099,85273,236249,296075,483,"761
"
0.0,0.7,40.507,54.732,30.25,59.617,74.79,56.665,35.895,80.926,42.403,53.331,75.563,40.299,65.018,78.363,66.671,73.191,91.82,43.364,44.809,11.827,216701,79374,19305,4895,330,341,90,4517,49.181,46.487,41.771,52.403,123674,172401,112332,236006,296075,332,"761
"
0.1,0.9,44.016,55.235,35.402,59.977,75.183,59.308,42.804,80.985,46.007,57.934,75.816,43.923,66.535,78.417,67.375,73.575,92.229,43.233,45.204,11.564,217837,78238,18355,2488,329,344,88,3323,50.655,52.197,46.919,58.814,138914,157161,97278,236192,296075,386,"761
"
0.9,0.6,53.085,56.278,50.358,60.488,76.268,61.67,64.263,81.01,55.148,70.522,76.148,53.701,69.174,78.384,69.439,74.374,93.777,45.729,42.838,11.432,220204,75871,14613,784,348,326,87,1431,53.097,68.339,61.27,77.253,181404,114671,53413,234817,296075,702,"761
"
0.9,0.0,57.076,56.788,57.594,60.608,77.055,62.701,77.129,81.093,59.049,75.983,76.509,58.133,70.167,78.42,70.288,74.472,94.681,45.729,42.05,12.221,220492,75583,12386,359,348,320,93,1009,54.096,75.79,67.702,86.074,200448,95627,32430,232878,296075,932,"761
"
0.9,0.1,57.076,56.788,57.594,60.608,77.055,62.701,77.129,81.093,59.049,75.983,76.509,58.133,70.167,78.42,70.288,74.472,94.681,45.729,42.05,12.221,220492,75583,12386,359,348,320,93,1009,54.096,75.79,67.702,86.074,200448,95627,32430,232878,296075,932,"761
"
0.0,0.4,56.22,56.692,55.989,60.602,76.915,62.678,74.457,81.115,58.218,74.542,76.473,57.004,69.71,78.412,69.948,74.369,94.389,45.466,42.444,12.089,220189,75886,13090,705,346,323,92,1348,53.655,74.156,66.292,84.137,196274,99801,37005,233279,296075,910,"761
"
0.9,0.7,48.433,55.731,42.373,60.262,75.588,59.442,53.274,80.927,50.481,64.381,75.818,48.812,68.014,78.361,68.483,74.104,92.949,44.547,44.284,11.17,219403,76672,16643,1389,339,337,85,2033,51.978,60.508,54.374,68.202,160988,135087,75058,236046,296075,548,"761
"
0.8,0.9,46.162,55.425,38.781,60.189,75.156,59.338,47.939,80.934,48.244,61.057,75.745,46.248,67.3,78.38,67.903,73.994,92.394,44.152,44.152,11.695,219079,76996,18036,1786,336,336,89,2538,51.302,55.943,50.373,62.899,149142,146933,87973,237115,296075,455,"761
"
0.7,0.0,57.076,56.788,57.594,60.608,77.055,62.701,77.129,81.093,59.049,75.983,76.509,58.133,70.167,78.42,70.288,74.472,94.681,45.729,42.05,12.221,220492,75583,12386,359,348,320,93,1009,54.096,75.79,67.702,86.074,200448,95627,32430,232878,296075,932,"761
"
0.0,0.9,41.5,54.993,31.58,59.852,74.934,58.985,37.086,80.97,43.419,54.651,75.719,41.382,66.056,78.415,67.044,73.458,91.969,43.627,44.941,11.432,217492,78583,18991,2925,332,342,87,3777,50.2,47.551,42.766,53.542,126618,169457,109865,236483,296075,322,"761
"
0.1,0.8,43.601,55.003,34.895,59.842,74.967,58.31,42.598,80.972,45.623,57.333,75.727,43.416,66.089,78.417,67.028,73.426,91.984,42.838,45.466,11.695,217397,78678,18944,2780,326,346,89,3570,50.242,51.728,46.509,58.265,137703,158372,98638,236341,296075,401,"761
"
0.9,0.9,45.7,55.379,38.025,60.087,75.244,59.083,46.422,80.946,47.737,60.446,75.752,45.789,67.266,78.386,67.886,73.871,92.505,44.415,43.89,11.695,218715,77360,17721,1835,338,334,89,2630,51.3,54.826,49.304,61.741,145977,150098,90459,236436,296075,444,"761
"
0.7,0.7,48.491,55.78,42.47,60.29,75.663,59.841,54.036,80.976,50.541,64.344,75.933,48.858,68.068,78.364,68.545,74.114,93.011,44.415,44.021,11.564,219433,76642,16488,1413,338,335,88,2123,52.033,60.379,54.246,68.077,160608,135467,75313,235921,296075,564,"761
"
0.1,1.0,43.613,55.059,34.904,59.867,75.036,59.119,42.202,80.986,45.627,57.363,75.777,43.468,66.322,78.399,67.173,73.479,92.096,43.495,44.809,11.695,217553,78522,18670,2521,331,341,89,3356,50.449,51.273,46.091,57.769,136463,159612,99760,236223,296075,374,"761
"
1.0,1.0,45.726,55.405,38.07,60.131,75.209,59.205,46.549,80.931,47.774,60.525,75.73,45.836,67.326,78.338,67.945,73.948,92.491,43.89,44.809,11.301,218942,77133,17775,1833,334,341,86,2587,51.307,55.491,49.929,62.449,147827,148248,88890,236717,296075,437,"761
"
0.6,0.7,48.761,55.886,42.852,60.322,75.834,59.951,54.021,81.016,50.785,64.539,76.046,49.079,68.11,78.38,68.571,74.058,93.102,44.021,44.678,11.301,219267,76808,16246,1364,335,340,86,2062,52.099,60.459,54.276,68.233,160697,135378,74816,235513,296075,573,"761
"
0.9,1.0,44.831,55.382,36.608,60.122,75.18,58.744,44.832,80.934,46.845,59.351,75.717,44.938,67.297,78.346,67.897,73.934,92.451,44.809,43.89,11.301,218900,77175,17874,1775,341,334,86,2540,51.287,53.441,48.089,60.133,142379,153696,94395,236774,296075,432,"761
"
0.0,0.0,57.076,56.788,57.594,60.608,77.055,62.701,77.129,81.093,59.049,75.983,76.509,58.133,70.167,78.42,70.288,74.472,94.681,45.729,42.05,12.221,220492,75583,12386,359,348,320,93,1009,54.096,75.79,67.702,86.074,200448,95627,32430,232878,296075,932,"761
"
0.7,0.1,57.076,56.788,57.594,60.608,77.055,62.701,77.129,81.093,59.049,75.983,76.509,58.133,70.167,78.42,70.288,74.472,94.681,45.729,42.05,12.221,220492,75583,12386,359,348,320,93,1009,54.096,75.79,67.702,86.074,200448,95627,32430,232878,296075,932,"761
"
0.7,0.6,53.184,56.259,50.549,60.44,76.319,61.258,65.305,81.017,55.233,70.649,76.167,53.811,69.133,78.38,69.406,74.3,93.821,45.072,43.364,11.564,219983,76092,14489,809,343,330,88,1472,53.069,68.71,61.562,77.736,182270,113805,52202,234472,296075,721,"761
"
0.8,0.0,57.076,56.788,57.594,60.608,77.055,62.701,77.129,81.093,59.049,75.983,76.509,58.133,70.167,78.42,70.288,74.472,94.681,45.729,42.05,12.221,220492,75583,12386,359,348,320,93,1009,54.096,75.79,67.702,86.074,200448,95627,32430,232878,296075,932,"761
"
0.7,0.5,55.834,56.666,55.258,60.604,76.822,62.237,73.048,81.062,57.834,74.337,76.395,56.79,69.875,78.416,70.044,74.467,94.394,45.466,42.444,12.089,220477,75598,13094,500,346,323,92,1130,53.802,73.412,65.663,83.235,194412,101663,39159,233571,296075,852,"761
"
0.0,0.5,52.643,56.116,49.655,60.357,76.231,60.535,64.659,81.058,54.706,69.658,76.2,53.079,68.281,78.408,68.986,74.081,93.565,45.466,42.707,11.827,219336,76739,15085,2089,346,325,90,2227,52.285,68.731,61.575,77.769,182308,113767,52113,234421,296075,759,"761
"
