w_assoc_parm,alpha_gate,gate,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,RHOTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,"GT_IDs
"
0.0,0.5,0.3,69.279,69.016,69.858,73.549,80.537,74.65,82.013,83.026,71.664,88.054,79.426,69.938,84.088,80.766,84.621,87.972,96.331,33.987,32.026,33.987,10737,1468,409,65,52,49,52,208,67.168,83.345,79.73,87.305,9731,2474,1415,11146,12205,140,"153
"
1.5,0.5,0.3,70.917,69.341,72.836,73.783,80.735,77.842,82.135,83.063,73.293,90.311,79.472,71.772,84.588,80.819,85.031,88.21,96.521,33.987,34.641,31.373,10766,1439,388,54,52,53,48,198,67.669,86.408,82.687,90.479,10092,2113,1062,11154,12205,134,"153
"
1.7,0.5,0.3,70.567,69.359,72.113,73.808,80.741,77.047,81.757,83.08,72.94,89.691,79.504,71.307,84.687,80.817,85.121,88.267,96.558,33.987,33.333,32.68,10773,1432,384,53,52,51,50,198,67.755,85.823,82.138,89.854,10025,2180,1132,11157,12205,134,"153
"
2.7,0.5,0.3,70.392,69.02,72.104,73.416,80.776,77.167,81.734,83.086,72.742,89.492,79.475,71.124,84.302,80.865,84.728,87.808,96.61,33.987,31.373,34.641,10717,1488,376,52,52,48,53,200,67.5,85.861,81.95,90.165,10002,2203,1091,11093,12205,137,"153
"
0.8,0.5,0.3,71.186,69.218,73.525,73.711,80.635,78.555,82.166,83.038,73.604,90.611,79.436,71.978,84.457,80.793,84.924,88.169,96.451,33.987,33.333,32.68,10761,1444,396,57,52,51,50,200,67.522,87.09,83.351,91.18,10173,2032,984,11157,12205,137,"153
"
0.2,0.5,0.3,69.621,69.123,70.456,73.647,80.579,75.587,81.158,83.038,72.016,88.398,79.426,70.21,84.203,80.791,84.728,88.062,96.351,33.987,33.987,32.026,10748,1457,407,64,52,52,49,207,67.287,84.092,80.475,88.05,9822,2383,1333,11155,12205,137,"153
"
3.0,0.5,0.3,70.338,69,71.996,73.379,80.749,77.097,81.586,83.047,72.674,89.535,79.429,71.117,84.318,80.787,84.76,87.816,96.637,32.68,33.333,33.987,10718,1487,373,54,50,51,52,201,67.446,85.886,81.966,90.199,10004,2201,1087,11091,12205,136,"153
"
2.8,0.5,0.3,70.367,68.979,72.081,73.35,80.783,77.177,81.629,83.073,72.702,89.484,79.462,71.105,84.211,80.831,84.654,87.726,96.616,32.68,34.641,32.68,10707,1498,375,54,50,53,50,202,67.395,85.928,81.975,90.282,10005,2200,1077,11082,12205,139,"153
"
0.6,0.5,0.3,70.875,69.265,72.824,73.739,80.673,77.855,82.106,83.051,73.266,90.255,79.467,71.723,84.474,80.803,84.949,88.177,96.468,33.987,33.333,32.68,10762,1443,394,58,52,51,50,201,67.547,86.64,82.917,90.714,10120,2085,1036,11156,12205,137,"153
"
0.5,0.5,0.3,70.469,69.279,71.989,73.762,80.662,77.229,81.283,83.049,72.855,89.654,79.443,71.223,84.457,80.804,84.924,88.185,96.434,33.987,33.987,32.026,10763,1442,398,57,52,52,49,201,67.529,85.92,82.245,89.938,10038,2167,1123,11161,12205,136,"153
"
0.4,0.5,0.3,69.449,69.083,70.156,73.57,80.654,75.25,81.198,83.078,71.825,88.012,79.497,69.967,84.072,80.849,84.596,87.907,96.371,33.987,34.641,31.373,10729,1476,404,64,52,53,48,206,67.237,83.795,80.115,87.829,9778,2427,1355,11133,12205,140,"153
"
